stm32_time_ms;d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
64747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
64847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
64947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
65047;24.8;26.25;0.000;0.000;0.000;0.000;0.000
65147;24.8;26.25;0.000;0.000;0.000;0.000;0.000
65247;24.8;26.25;0.000;0.000;0.000;0.000;0.000
65347;24.7;26.25;0.000;0.000;0.000;0.000;0.000
65447;24.7;26.25;0.000;0.000;0.000;0.000;0.000
65547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
65647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
65747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
65847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
65947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
66047;24.8;26.25;0.000;0.000;0.000;0.000;0.000
66147;24.8;26.25;0.000;0.000;0.000;0.000;0.000
66247;24.8;26.25;0.000;0.000;0.000;0.000;0.000
66347;24.7;26.25;0.000;0.000;0.000;0.000;0.000
66447;24.7;26.25;0.000;0.000;0.000;0.000;0.000
66547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
66647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
66747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
66847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
66947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
67047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
67147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
67247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
67347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
67447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
67547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
67647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
67747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
67847;24.8;26.31;0.000;0.000;0.000;0.000;0.000
67947;24.8;26.31;0.000;0.000;0.000;0.000;0.000
68047;24.8;26.31;0.000;0.000;0.000;0.000;0.000
68147;24.8;26.31;0.000;0.000;0.000;0.000;0.000
68247;24.8;26.31;0.000;0.000;0.000;0.000;0.000
68347;24.8;26.31;0.000;0.000;0.000;0.000;0.000
68447;24.8;26.31;0.000;0.000;0.000;0.000;0.000
68547;24.8;26.31;0.000;0.000;0.000;0.000;0.000
68647;24.8;26.31;0.000;0.000;0.000;0.000;0.000
68747;24.8;26.31;0.000;0.000;0.000;0.000;0.000
68847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
68947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
69047;24.8;26.25;0.000;0.000;0.000;0.000;0.000
69147;24.8;26.25;0.000;0.000;0.000;0.000;0.000
69247;24.8;26.25;0.000;0.000;0.000;0.000;0.000
69347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
69447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
69547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
69647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
69747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
69847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
69947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
70047;24.7;26.25;0.000;0.000;0.000;0.000;0.000
70147;24.7;26.25;0.000;0.000;0.000;0.000;0.000
70247;24.7;26.25;0.000;0.000;0.000;0.000;0.000
70347;24.7;26.25;0.000;0.000;0.000;0.000;0.000
70447;24.7;26.25;0.000;0.000;0.000;0.000;0.000
70547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
70647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
70747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
70847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
70947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
71047;24.7;26.25;0.000;0.000;0.000;0.000;0.000
71147;24.7;26.25;0.000;0.000;0.000;0.000;0.000
71247;24.7;26.25;0.000;0.000;0.000;0.000;0.000
71347;24.7;26.25;0.000;0.000;0.000;0.000;0.000
71447;24.7;26.25;0.000;0.000;0.000;0.000;0.000
71547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
71647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
71747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
71847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
71947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
72047;24.8;26.25;0.000;0.000;0.000;0.000;0.000
72147;24.8;26.25;0.000;0.000;0.000;0.000;0.000
72247;24.8;26.25;0.000;0.000;0.000;0.000;0.000
72347;24.8;26.25;0.000;0.000;0.000;0.000;0.000
72447;24.8;26.25;0.000;0.000;0.000;0.000;0.000
72547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
72647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
72747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
72847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
72947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
73047;24.7;26.25;0.000;0.000;0.000;0.000;0.000
73147;24.7;26.25;0.000;0.000;0.000;0.000;0.000
73247;24.7;26.25;0.000;0.000;0.000;0.000;0.000
73347;24.7;26.25;0.000;0.000;0.000;0.000;0.000
73447;24.7;26.25;0.000;0.000;0.000;0.000;0.000
73547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
73647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
73747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
