stm32_time_ms;d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
192877;22.1;24.68;0.000;0.000;0.000;0.000;0.000
192977;22.1;24.68;0.000;0.000;0.000;0.000;0.000
193077;22.1;24.68;0.000;0.000;0.000;0.000;0.000
193177;22.1;24.68;0.000;0.000;0.000;0.000;0.000
193277;22.2;24.68;0.000;0.000;0.000;0.000;0.000
193377;22.2;24.68;0.000;0.000;0.000;0.000;0.000
193477;22.2;24.68;0.000;0.000;0.000;0.000;0.000
193577;22.2;24.68;0.000;0.000;0.000;0.000;0.000
193677;22.2;24.68;0.000;0.000;0.000;0.000;0.000
193777;22.2;24.68;0.000;0.000;0.000;0.000;0.000
193877;22.2;24.68;0.000;0.000;0.000;0.000;0.000
193977;22.2;24.68;0.000;0.000;0.000;0.000;0.000
194077;22.2;24.68;0.000;0.000;0.000;0.000;0.000
194177;22.2;24.68;0.000;0.000;0.000;0.000;0.000
194277;22.2;24.68;0.000;0.000;0.000;0.000;0.000
194377;22.2;24.68;0.000;0.000;0.000;0.000;0.000
194477;22.2;24.68;0.000;0.000;0.000;0.000;0.000
194577;22.1;24.68;0.000;0.000;0.000;0.000;0.000
194677;22.1;24.68;0.000;0.000;0.000;0.000;0.000
194777;22.1;24.68;0.000;0.000;0.000;0.000;0.000
194877;22.1;24.68;0.000;0.000;0.000;0.000;0.000
194977;22.1;24.68;0.000;0.000;0.000;0.000;0.000
195077;22.0;24.68;0.000;0.000;0.000;0.000;0.000
195177;22.0;24.68;0.000;0.000;0.000;0.000;0.000
195277;22.0;24.68;0.000;0.000;0.000;0.000;0.000
195377;22.0;24.68;0.000;0.000;0.000;0.000;0.000
195477;22.0;24.68;0.000;0.000;0.000;0.000;0.000
195577;22.1;24.68;0.000;0.000;0.000;0.000;0.000
195677;22.1;24.68;0.000;0.000;0.000;0.000;0.000
195777;22.0;24.68;0.000;0.000;0.000;0.000;0.000
195877;22.0;24.68;0.000;0.000;0.000;0.000;0.000
195977;22.0;24.68;0.000;0.000;0.000;0.000;0.000
196077;22.1;24.68;0.000;0.000;0.000;0.000;0.000
196177;22.1;24.68;0.000;0.000;0.000;0.000;0.000
196277;22.1;24.68;0.000;0.000;0.000;0.000;0.000
196377;22.1;24.68;0.000;0.000;0.000;0.000;0.000
196477;22.1;24.68;0.000;0.000;0.000;0.000;0.000
196577;22.1;24.68;0.000;0.000;0.000;0.000;0.000
196677;22.1;24.68;0.000;0.000;0.000;0.000;0.000
196777;22.1;24.68;0.000;0.000;0.000;0.000;0.000
196877;22.1;24.68;0.000;0.000;0.000;0.000;0.000
196977;22.1;24.68;0.000;0.000;0.000;0.000;0.000
197077;22.1;24.68;0.000;0.000;0.000;0.000;0.000
197177;22.1;24.68;0.000;0.000;0.000;0.000;0.000
197277;22.1;24.68;0.000;0.000;0.000;0.000;0.000
197377;22.1;24.68;0.000;0.000;0.000;0.000;0.000
197477;22.1;24.68;0.000;0.000;0.000;0.000;0.000
197577;22.1;24.68;0.000;0.000;0.000;0.000;0.000
197677;22.1;24.68;0.000;0.000;0.000;0.000;0.000
197777;22.0;24.68;0.000;0.000;0.000;0.000;0.000
197877;22.0;24.68;0.000;0.000;0.000;0.000;0.000
197977;22.0;24.68;0.000;0.000;0.000;0.000;0.000
198077;22.0;24.68;0.000;0.000;0.000;0.000;0.000
198177;22.0;24.68;0.000;0.000;0.000;0.000;0.000
198277;22.0;24.68;0.000;0.000;0.000;0.000;0.000
198377;22.0;24.68;0.000;0.000;0.000;0.000;0.000
198477;22.0;24.68;0.000;0.000;0.000;0.000;0.000
198577;22.1;24.68;0.000;0.000;0.000;0.000;0.000
198677;22.1;24.68;0.000;0.000;0.000;0.000;0.000
198777;22.2;24.68;0.000;0.000;0.000;0.000;0.000
198877;22.2;24.68;0.000;0.000;0.000;0.000;0.000
198977;22.2;24.68;0.000;0.000;0.000;0.000;0.000
199077;22.2;24.68;0.000;0.000;0.000;0.000;0.000
199177;22.2;24.68;0.000;0.000;0.000;0.000;0.000
199277;22.2;24.68;0.000;0.000;0.000;0.000;0.000
199377;22.2;24.68;0.000;0.000;0.000;0.000;0.000
199477;22.2;24.68;0.000;0.000;0.000;0.000;0.000
199577;22.1;24.68;0.000;0.000;0.000;0.000;0.000
199677;22.1;24.68;0.000;0.000;0.000;0.000;0.000
199777;22.1;24.68;0.000;0.000;0.000;0.000;0.000
