stm32_time_ms;d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
3662;24.1;25.81;0.000;0.000;0.000;0.000;0.000
3767;24.1;25.87;0.000;0.000;0.000;0.000;0.000
3862;24.1;25.87;0.000;0.000;0.000;0.000;0.000
3962;24.1;25.87;0.000;0.000;0.000;0.000;0.000
4062;24.1;25.87;0.000;0.000;0.000;0.000;0.000
4162;24.1;25.87;0.000;0.000;0.000;0.000;0.000
4267;24.1;25.87;0.000;0.000;0.000;0.000;0.000
4362;24.1;25.87;0.000;0.000;0.000;0.000;0.000
4462;24.1;25.87;0.000;0.000;0.000;0.000;0.000
4562;24.1;25.87;0.000;0.000;0.000;0.000;0.000
4662;24.1;25.87;0.000;0.000;0.000;0.000;0.000
4767;24.1;25.87;0.000;0.000;0.000;0.000;0.000
4862;24.1;25.87;0.000;0.000;0.000;0.000;0.000
4962;24.1;25.87;0.000;0.000;0.000;0.000;0.000
5062;24.2;25.87;0.000;0.000;0.000;0.000;0.000
5162;24.2;25.87;0.000;0.000;0.000;0.000;0.000
5267;24.1;25.87;0.000;0.000;0.000;0.000;0.000
5362;24.1;25.87;0.000;0.000;0.000;0.000;0.000
5462;24.1;25.87;0.000;0.000;0.000;0.000;0.000
5562;24.1;25.87;0.000;0.000;0.000;0.000;0.000
5662;24.1;25.87;0.000;0.000;0.000;0.000;0.000
5767;24.1;25.87;0.000;0.000;0.000;0.000;0.000
5862;24.1;25.87;0.000;0.000;0.000;0.000;0.000
5962;24.1;25.87;0.000;0.000;0.000;0.000;0.000
6062;24.1;25.87;0.000;0.000;0.000;0.000;0.000
6162;24.1;25.87;0.000;0.000;0.000;0.000;0.000
6267;24.0;25.87;0.000;0.000;0.000;0.000;0.000
6362;24.0;25.87;0.000;0.000;0.000;0.000;0.000
6462;24.0;25.87;0.000;0.000;0.000;0.000;0.000
6562;24.1;25.87;0.000;0.000;0.000;0.000;0.000
6662;24.1;25.87;0.000;0.000;0.000;0.000;0.000
6767;24.1;25.87;0.000;0.000;0.000;0.000;0.000
6862;24.1;25.87;0.000;0.000;0.000;0.000;0.000
6962;24.1;25.87;0.000;0.000;0.000;0.000;0.000
7062;24.1;25.87;0.000;0.000;0.000;0.000;0.000
7162;24.1;25.87;0.000;0.000;0.000;0.000;0.000
7267;24.1;25.87;0.000;0.000;0.000;0.000;0.000
7362;24.1;25.87;0.000;0.000;0.000;0.000;0.000
7462;24.1;25.87;0.000;0.000;0.000;0.000;0.000
7562;24.1;25.87;0.000;0.000;0.000;0.000;0.000
7662;24.1;25.87;0.000;0.000;0.000;0.000;0.000
7767;24.2;25.87;0.000;0.000;0.000;0.000;0.000
7862;24.2;25.87;0.000;0.000;0.000;0.000;0.000
7962;24.2;25.87;0.000;0.000;0.000;0.000;0.000
8062;24.1;25.87;0.000;0.000;0.000;0.000;0.000
8162;24.1;25.87;0.000;0.000;0.000;0.000;0.000
8267;24.1;25.87;0.000;0.000;0.000;0.000;0.000
8362;24.1;25.87;0.000;0.000;0.000;0.000;0.000
8462;24.1;25.87;0.000;0.000;0.000;0.000;0.000
8562;24.1;25.87;0.000;0.000;0.000;0.000;0.000
8662;24.1;25.87;0.000;0.000;0.000;0.000;0.000
8767;24.0;25.87;0.000;0.000;0.000;0.000;0.000
8862;24.0;25.87;0.000;0.000;0.000;0.000;0.000
8962;24.0;25.87;0.000;0.000;0.000;0.000;0.000
9062;24.1;25.87;0.000;0.000;0.000;0.000;0.000
9162;24.1;25.87;0.000;0.000;0.000;0.000;0.000
9267;24.1;25.87;0.000;0.000;0.000;0.000;0.000
9362;24.1;25.87;0.000;0.000;0.000;0.000;0.000
9462;24.1;25.87;0.000;0.000;0.000;0.000;0.000
9562;24.0;25.87;0.000;0.000;0.000;0.000;0.000
9662;24.0;25.87;0.000;0.000;0.000;0.000;0.000
9766;24.1;25.87;0.000;0.000;0.000;0.000;0.000
9862;24.1;25.87;0.000;0.000;0.000;0.000;0.000
9962;24.1;25.87;0.000;0.000;0.000;0.000;0.000
10062;24.0;25.87;0.000;0.000;0.000;0.000;0.000
10162;24.0;25.87;0.000;0.000;0.000;0.000;0.000
10267;24.0;25.87;0.000;0.000;0.000;0.000;0.000
10362;24.0;25.87;0.000;0.000;0.000;0.000;0.000
10462;24.0;25.87;0.000;0.000;0.000;0.000;0.000
10562;24.1;25.87;0.000;0.000;0.000;0.000;0.000
10662;24.1;25.87;0.000;0.000;0.000;0.000;0.000
10767;24.1;25.81;0.000;0.000;0.000;0.000;0.000
10862;24.1;25.81;0.000;0.000;0.000;0.000;0.000
10962;24.1;25.81;0.000;0.000;0.000;0.000;0.000
11062;24.0;25.81;0.000;0.000;0.000;0.000;0.000
11162;24.0;25.81;0.000;0.000;0.000;0.000;0.000
11267;24.0;25.81;0.000;0.000;0.000;0.000;0.000
11362;24.0;25.81;0.000;0.000;0.000;0.000;0.000
11462;24.0;25.81;0.000;0.000;0.000;0.000;0.000
11562;24.0;25.81;0.000;0.000;0.000;0.000;0.000
11662;24.0;25.81;0.000;0.000;0.000;0.000;0.000
11767;23.9;25.87;0.000;0.000;0.000;0.000;0.000
11862;23.9;25.87;0.000;0.000;0.000;0.000;0.000
11962;23.9;25.87;0.000;0.000;0.000;0.000;0.000
12062;23.9;25.87;0.000;0.000;0.000;0.000;0.000
12162;23.9;25.87;0.000;0.000;0.000;0.000;0.000
12267;24.0;25.87;0.000;0.000;0.000;0.000;0.000
12362;24.0;25.87;0.000;0.000;0.000;0.000;0.000
12462;24.0;25.87;0.000;0.000;0.000;0.000;0.000
12562;24.0;25.87;0.000;0.000;0.000;0.000;0.000
12662;24.0;25.87;0.000;0.000;0.000;0.000;0.000
12767;24.0;25.81;0.000;0.000;0.000;0.000;0.000
12862;24.0;25.81;0.000;0.000;0.000;0.000;0.000
12962;24.0;25.81;0.000;0.000;0.000;0.000;0.000
13062;24.0;25.81;0.000;0.000;0.000;0.000;0.000
13162;24.0;25.81;0.000;0.000;0.000;0.000;0.000
13267;24.1;25.81;0.000;0.000;0.000;0.000;0.000
13362;24.1;25.81;0.000;0.000;0.000;0.000;0.000
13462;24.1;25.81;0.000;0.000;0.000;0.000;0.000
13562;24.1;25.81;0.000;0.000;0.000;0.000;0.000
13662;24.1;25.81;0.000;0.000;0.000;0.000;0.000
13767;24.1;25.81;0.000;0.000;0.000;0.000;0.000
13862;24.1;25.81;0.000;0.000;0.000;0.000;0.000
13962;24.1;25.81;0.000;0.000;0.000;0.000;0.000
14062;24.1;25.81;0.000;0.000;0.000;0.000;0.000
14162;24.1;25.81;0.000;0.000;0.000;0.000;0.000
14267;24.1;25.81;0.000;0.000;0.000;0.000;0.000
14362;24.1;25.81;0.000;0.000;0.000;0.000;0.000
14462;24.1;25.81;0.000;0.000;0.000;0.000;0.000
14562;24.1;25.81;0.000;0.000;0.000;0.000;0.000
14662;24.1;25.81;0.000;0.000;0.000;0.000;0.000
14767;24.1;25.87;0.000;0.000;0.000;0.000;0.000
14862;24.1;25.87;0.000;0.000;0.000;0.000;0.000
14962;24.1;25.87;0.000;0.000;0.000;0.000;0.000
15062;24.1;25.87;0.000;0.000;0.000;0.000;0.000
15162;24.1;25.87;0.000;0.000;0.000;0.000;0.000
15267;24.1;25.87;0.000;0.000;0.000;0.000;0.000
15362;24.1;25.87;0.000;0.000;0.000;0.000;0.000
15462;24.1;25.87;0.000;0.000;0.000;0.000;0.000
15562;24.0;25.87;0.000;0.000;0.000;0.000;0.000
15662;24.0;25.87;0.000;0.000;0.000;0.000;0.000
15767;23.9;25.81;0.000;0.000;0.000;0.000;0.000
15862;23.9;25.81;0.000;0.000;0.000;0.000;0.000
15962;23.9;25.81;0.000;0.000;0.000;0.000;0.000
16062;24.0;25.81;0.000;0.000;0.000;0.000;0.000
16162;24.0;25.81;0.000;0.000;0.000;0.000;0.000
16267;24.1;25.81;0.000;0.000;0.000;0.000;0.000
16362;24.1;25.81;0.000;0.000;0.000;0.000;0.000
16462;24.1;25.81;0.000;0.000;0.000;0.000;0.000
16562;24.1;25.81;0.000;0.000;0.000;0.000;0.000
16662;24.1;25.81;0.000;0.000;0.000;0.000;0.000
16767;24.1;25.81;0.000;0.000;0.000;0.000;0.000
16862;24.1;25.81;0.000;0.000;0.000;0.000;0.000
16962;24.1;25.81;0.000;0.000;0.000;0.000;0.000
17062;24.1;25.81;0.000;0.000;0.000;0.000;0.000
17162;24.1;25.81;0.000;0.000;0.000;0.000;0.000
17267;24.0;25.81;0.000;0.000;0.000;0.000;0.000
17362;24.0;25.81;0.000;0.000;0.000;0.000;0.000
17462;24.0;25.81;0.000;0.000;0.000;0.000;0.000
17562;24.0;25.81;0.000;0.000;0.000;0.000;0.000
17662;24.0;25.81;0.000;0.000;0.000;0.000;0.000
17767;24.1;25.87;0.000;0.000;0.000;0.000;0.000
17862;24.1;25.87;0.000;0.000;0.000;0.000;0.000
17962;24.1;25.87;0.000;0.000;0.000;0.000;0.000
18062;24.1;25.87;0.000;0.000;0.000;0.000;0.000
18162;24.1;25.87;0.000;0.000;0.000;0.000;0.000
18267;24.1;25.87;0.000;0.000;0.000;0.000;0.000
18362;24.1;25.87;0.000;0.000;0.000;0.000;0.000
18462;24.1;25.87;0.000;0.000;0.000;0.000;0.000
18562;23.9;25.87;0.000;0.000;0.000;0.000;0.000
18662;23.9;25.87;0.000;0.000;0.000;0.000;0.000
18767;23.9;25.87;0.000;0.000;0.000;0.000;0.000
18862;23.9;25.87;0.000;0.000;0.000;0.000;0.000
18962;23.9;25.87;0.000;0.000;0.000;0.000;0.000
19062;24.0;25.87;0.000;0.000;0.000;0.000;0.000
19162;24.0;25.87;0.000;0.000;0.000;0.000;0.000
19266;24.1;25.87;0.000;0.000;0.000;0.000;0.000
19362;24.1;25.87;0.000;0.000;0.000;0.000;0.000
19462;24.1;25.87;0.000;0.000;0.000;0.000;0.000
19562;23.9;25.87;0.000;0.000;0.000;0.000;0.000
19662;23.9;25.87;0.000;0.000;0.000;0.000;0.000
19767;24.0;25.87;0.000;0.000;0.000;0.000;0.000
19862;24.0;25.87;0.000;0.000;0.000;0.000;0.000
19962;24.0;25.87;0.000;0.000;0.000;0.000;0.000
20062;24.1;25.87;0.000;0.000;0.000;0.000;0.000
20162;24.1;25.87;0.000;0.000;0.000;0.000;0.000
20267;24.0;25.87;0.000;0.000;0.000;0.000;0.000
20362;24.0;25.87;0.000;0.000;0.000;0.000;0.000
20462;24.0;25.87;0.000;0.000;0.000;0.000;0.000
20562;23.9;25.87;0.000;0.000;0.000;0.000;0.000
20662;23.9;25.87;0.000;0.000;0.000;0.000;0.000
20767;24.0;25.87;0.000;0.000;0.000;0.000;0.000
20862;24.0;25.87;0.000;0.000;0.000;0.000;0.000
20962;24.0;25.87;0.000;0.000;0.000;0.000;0.000
21062;24.1;25.87;0.000;0.000;0.000;0.000;0.000
21162;24.1;25.87;0.000;0.000;0.000;0.000;0.000
21267;24.1;25.87;0.000;0.000;0.000;0.000;0.000
21362;24.1;25.87;0.000;0.000;0.000;0.000;0.000
21462;24.1;25.87;0.000;0.000;0.000;0.000;0.000
21562;24.1;25.87;0.000;0.000;0.000;0.000;0.000
21662;24.1;25.87;0.000;0.000;0.000;0.000;0.000
21767;24.0;25.87;0.000;0.000;0.000;0.000;0.000
21862;24.0;25.87;0.000;0.000;0.000;0.000;0.000
21962;24.0;25.87;0.000;0.000;0.000;0.000;0.000
22062;24.0;25.87;0.000;0.000;0.000;0.000;0.000
22162;24.0;25.87;0.000;0.000;0.000;0.000;0.000
22267;24.0;25.87;0.000;0.000;0.000;0.000;0.000
22362;24.0;25.87;0.000;0.000;0.000;0.000;0.000
22462;24.0;25.87;0.000;0.000;0.000;0.000;0.000
22562;24.1;25.87;0.000;0.000;0.000;0.000;0.000
22662;24.1;25.87;0.000;0.000;0.000;0.000;0.000
22767;24.1;25.81;0.000;0.000;0.000;0.000;0.000
22862;24.1;25.81;0.000;0.000;0.000;0.000;0.000
22962;24.1;25.81;0.000;0.000;0.000;0.000;0.000
23062;24.1;25.81;0.000;0.000;0.000;0.000;0.000
23162;24.1;25.81;0.000;0.000;0.000;0.000;0.000
23267;24.0;25.81;0.000;0.000;0.000;0.000;0.000
23362;24.0;25.81;0.000;0.000;0.000;0.000;0.000
23462;24.0;25.81;0.000;0.000;0.000;0.000;0.000
23562;24.1;25.81;0.000;0.000;0.000;0.000;0.000
23662;24.1;25.81;0.000;0.000;0.000;0.000;0.000
23767;24.1;25.81;0.000;0.000;0.000;0.000;0.000
