stm32_time_ms;d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
43769;24.8;26.18;0.000;0.000;0.000;0.000;0.000
43861;24.8;26.18;0.000;0.000;0.000;0.000;0.000
43961;24.8;26.18;0.000;0.000;0.000;0.000;0.000
44061;24.8;26.18;0.000;0.000;0.000;0.000;0.000
44161;24.8;26.18;0.000;0.000;0.000;0.000;0.000
44261;24.8;26.18;0.000;0.000;0.000;0.000;0.000
44361;24.8;26.18;0.000;0.000;0.000;0.000;0.000
44461;24.8;26.18;0.000;0.000;0.000;0.000;0.000
44561;24.8;26.18;0.000;0.000;0.000;0.000;0.000
44661;24.8;26.18;0.000;0.000;0.000;0.000;0.000
44761;24.8;26.18;0.000;0.000;0.000;0.000;0.000
44861;24.8;26.18;0.000;0.000;0.000;0.000;0.000
44961;24.8;26.18;0.000;0.000;0.000;0.000;0.000
45061;24.8;26.18;0.000;0.000;0.000;0.000;0.000
45161;24.8;26.18;0.000;0.000;0.000;0.000;0.000
45261;24.8;26.18;0.000;0.000;0.000;0.000;0.000
45361;24.8;26.18;0.000;0.000;0.000;0.000;0.000
45461;24.8;26.18;0.000;0.000;0.000;0.000;0.000
45561;24.9;26.18;0.000;0.000;0.000;0.000;0.000
45661;24.9;26.18;0.000;0.000;0.000;0.000;0.000
45761;24.9;26.18;0.000;0.000;0.000;0.000;0.000
45861;24.9;26.18;0.000;0.000;0.000;0.000;0.000
45961;24.9;26.18;0.000;0.000;0.000;0.000;0.000
46061;24.8;26.18;0.000;0.000;0.000;0.000;0.000
46161;24.8;26.18;0.000;0.000;0.000;0.000;0.000
46261;24.8;26.18;0.000;0.000;0.000;0.000;0.000
46361;24.8;26.18;0.000;0.000;0.000;0.000;0.000
46461;24.8;26.18;0.000;0.000;0.000;0.000;0.000
46561;24.8;26.18;0.000;0.000;0.000;0.000;0.000
46661;24.8;26.18;0.000;0.000;0.000;0.000;0.000
46761;24.8;26.18;0.000;0.000;0.000;0.000;0.000
46861;24.8;26.18;0.000;0.000;0.000;0.000;0.000
46961;24.8;26.18;0.000;0.000;0.000;0.000;0.000
47061;24.8;26.18;0.000;0.000;0.000;0.000;0.000
47161;24.8;26.18;0.000;0.000;0.000;0.000;0.000
47261;24.8;26.18;0.000;0.000;0.000;0.000;0.000
47361;24.8;26.18;0.000;0.000;0.000;0.000;0.000
47461;24.8;26.18;0.000;0.000;0.000;0.000;0.000
47561;24.8;26.18;0.000;0.000;0.000;0.000;0.000
47661;24.8;26.18;0.000;0.000;0.000;0.000;0.000
47761;24.8;26.18;0.000;0.000;0.000;0.000;0.000
47861;24.8;26.18;0.000;0.000;0.000;0.000;0.000
47961;24.8;26.18;0.000;0.000;0.000;0.000;0.000
48061;24.8;26.18;0.000;0.000;0.000;0.000;0.000
48161;24.8;26.18;0.000;0.000;0.000;0.000;0.000
48261;24.9;26.18;0.000;0.000;0.000;0.000;0.000
48361;24.9;26.18;0.000;0.000;0.000;0.000;0.000
48461;24.9;26.18;0.000;0.000;0.000;0.000;0.000
