stm32_time_ms;d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
327830;30.5;27.18;0.482;1.561;2007.592;-0.663;6.345
327930;30.5;27.18;0.499;1.550;2010.551;-0.885;6.441
328030;30.4;27.18;0.476;1.509;2018.605;-0.306;6.987
328130;30.4;27.18;0.465;1.488;2000.194;-0.036;7.250
328230;30.4;27.18;0.472;1.510;1995.802;-0.276;7.004
328330;30.4;27.18;0.498;1.554;2007.326;-0.879;6.480
328430;30.4;27.18;0.497;1.551;2005.040;-0.828;6.481
328530;30.4;27.18;0.471;1.502;2017.980;-0.177;7.093
328630;30.4;27.18;0.439;1.491;2011.695;0.330;7.140
328730;30.4;27.18;0.425;1.501;2002.557;0.555;6.827
328830;30.4;27.18;0.443;1.495;1990.798;0.210;7.107
328930;30.4;27.18;0.466;1.496;2002.330;-0.140;7.178
329030;30.5;27.18;0.487;1.536;1999.881;-0.575;6.713
329130;30.5;27.18;0.497;1.543;2013.169;-0.799;6.544
329230;30.5;27.18;0.474;1.518;2013.806;-0.285;6.899
329330;30.5;27.18;0.478;1.509;1994.743;-0.350;7.029
329430;30.5;27.18;0.497;1.546;1998.589;-0.902;6.546
329530;30.5;27.18;0.439;1.567;1991.281;-0.062;6.171
329630;30.5;27.18;0.410;1.559;1979.768;0.659;6.282
329730;30.5;27.18;0.417;1.562;1998.776;0.492;6.210
329830;30.4;27.18;0.437;1.576;2010.495;0.049;6.050
329930;30.4;27.18;0.469;1.566;2001.401;-0.454;6.270
330030;30.5;27.18;0.482;1.557;1992.603;-0.656;6.335
330130;30.5;27.18;0.438;1.569;1992.694;-0.002;6.172
330230;30.5;27.18;0.418;1.568;1999.045;0.476;6.215
330330;30.5;27.18;0.479;1.563;2014.099;-0.803;6.346
330430;30.5;27.18;0.475;1.522;2014.235;-0.300;6.871
330530;30.4;27.18;0.448;1.488;2007.337;0.251;7.226
330630;30.4;27.18;0.447;1.491;1999.542;0.188;7.227
330730;30.4;27.18;0.471;1.507;2003.570;-0.226;7.053
330830;30.4;27.18;0.479;1.514;1998.976;-0.338;7.001
330930;30.4;27.18;0.473;1.510;2015.763;-0.268;7.029
331030;30.5;27.18;0.455;1.496;2017.997;0.098;7.187
331130;30.5;27.18;0.420;1.511;1995.314;0.601;6.661
331230;30.5;27.18;0.439;1.486;1984.732;0.286;7.260
331330;30.5;27.18;0.484;1.521;1995.195;-0.535;6.847
331430;30.5;27.18;0.490;1.549;1999.390;-0.775;6.522
331530;30.5;27.18;0.492;1.554;2005.357;-0.834;6.456
331630;30.5;27.18;0.478;1.527;2013.328;-0.347;6.818
331730;30.5;27.18;0.469;1.505;2012.336;-0.147;7.122
331830;30.5;27.18;0.468;1.508;2005.282;-0.172;7.095
331930;30.5;27.18;0.480;1.527;2007.938;-0.500;6.811
332030;30.5;27.18;0.492;1.553;1984.537;-0.803;6.493
332130;30.5;27.18;0.470;1.562;2000.352;-0.467;6.301
332230;30.5;27.18;0.504;1.553;2019.474;-0.948;6.479
332330;30.5;27.18;0.478;1.523;2004.024;-0.337;6.909
332430;30.5;27.18;0.487;1.537;1991.746;-0.617;6.716
332530;30.5;27.18;0.492;1.549;2005.752;-0.865;6.529
332630;30.5;27.18;0.475;1.558;1997.498;-0.529;6.436
332730;30.5;27.18;0.463;1.564;1995.673;-0.369;6.315
332830;30.5;27.18;0.501;1.556;2013.495;-1.010;6.448
332930;30.5;27.18;0.495;1.542;2020.018;-0.683;6.674
333030;30.5;27.18;0.470;1.510;2011.190;-0.157;7.062
333130;30.5;27.18;0.457;1.496;2003.949;0.021;7.182
333230;30.5;27.18;0.473;1.508;1994.434;-0.217;7.125
333330;30.5;27.18;0.458;1.510;2023.302;0.007;7.064
333430;30.5;27.18;0.433;1.499;2014.675;0.430;7.031
333530;30.5;27.18;0.407;1.531;1986.663;0.761;6.324
333630;30.5;27.18;0.415;1.547;1992.507;0.592;6.079
333730;30.5;27.18;0.414;1.515;1998.012;0.647;6.658
333830;30.4;27.18;0.438;1.490;1990.077;0.393;7.198
333930;30.4;27.18;0.459;1.496;1992.728;0.002;7.251
334030;30.5;27.18;0.457;1.498;2011.744;0.050;7.216
334130;30.5;27.18;0.443;1.486;2012.104;0.284;7.295
334230;30.5;27.18;0.448;1.493;1999.411;0.188;7.204
334330;30.5;27.18;0.469;1.514;1990.587;-0.235;7.033
334430;30.5;27.18;0.487;1.560;1990.263;-0.701;6.415
