stm32_time_ms;d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
1654314;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1654414;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1654514;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1654614;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1654714;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1654814;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1654914;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1655014;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1655114;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1655214;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1655314;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1655414;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1655514;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1655614;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1655714;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1655814;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1655914;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1656014;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1656114;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1656214;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1656314;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1656414;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1656514;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1656614;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1656714;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1656814;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1656914;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1657014;23.1;25.37;0.000;0.000;0.000;0.000;0.000
1657114;23.1;25.37;0.000;0.000;0.000;0.000;0.000
1657214;23.1;25.37;0.000;0.000;0.000;0.000;0.000
1657314;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1657414;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1657514;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1657614;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1657714;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1657814;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1657914;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1658014;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1658114;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1658214;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1658314;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1658414;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1658514;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1658614;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1658714;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1658814;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1658914;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1659014;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1659114;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1659214;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1659314;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1659414;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1659514;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1659614;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1659714;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1659814;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1659914;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1660014;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1660114;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1660214;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1660314;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1660414;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1660514;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1660614;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1660714;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1660814;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1660914;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1661014;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1661114;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1661214;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1661314;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1661414;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1661514;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1661614;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1661714;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1661814;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1661914;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1662014;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1662114;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1662214;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1662314;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1662414;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1662514;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1662614;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1662714;23.2;25.37;0.000;0.000;0.000;0.000;0.000
1662814;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1662914;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1663014;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1663114;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1663214;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1663314;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1663414;23.4;25.37;0.000;0.000;0.000;0.000;0.000
1663514;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1663614;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1663714;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1663814;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1663914;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1664014;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1664114;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1664214;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1664314;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1664414;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1664514;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1664614;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1664714;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1664814;23.3;25.37;0.000;0.000;0.000;0.000;0.000
1664914;23.3;25.37;0.000;0.000;0.000;0.000;0.000
