stm32_time_ms;d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
20130;32.8;26.87;0.478;1.509;2007.119;-0.528;6.218
20230;32.8;26.87;0.448;1.471;2020.681;0.078;6.626
20330;32.8;26.87;0.432;1.530;2013.924;0.061;5.459
20430;32.8;26.87;0.466;1.510;2005.023;-0.584;5.744
20530;32.8;26.87;0.469;1.505;2011.768;-0.516;5.823
20630;32.8;26.87;0.463;1.498;1996.510;-0.366;5.867
20730;32.8;26.87;0.467;1.507;1997.141;-0.508;5.771
20830;32.8;26.87;0.466;1.512;1998.869;-0.564;5.730
20930;32.8;26.87;0.431;1.520;1979.125;-0.015;5.601
21030;32.8;26.87;0.405;1.516;1988.191;0.517;5.628
21130;32.8;26.87;0.421;1.466;1988.087;0.428;6.604
21230;32.8;26.87;0.490;1.508;1989.571;-0.902;6.205
21330;32.8;26.87;0.397;1.529;1968.014;0.698;5.875
21430;32.8;26.87;0.414;1.501;1987.480;0.598;6.387
21530;32.9;26.87;0.419;1.503;2007.335;0.511;6.421
21630;32.9;26.87;0.412;1.543;2000.135;0.403;5.712
21730;32.9;26.87;0.417;1.540;1991.762;0.296;5.737
21830;32.9;26.93;0.431;1.539;1999.750;-0.002;5.751
21930;32.9;26.93;0.423;1.540;1993.969;0.224;5.751
22030;32.9;26.93;0.423;1.546;2004.577;0.209;5.707
22130;32.9;26.93;0.491;1.529;2015.548;-0.932;5.978
22230;32.9;26.93;0.474;1.508;2011.388;-0.391;6.372
22330;32.8;26.93;0.464;1.488;2013.209;-0.272;6.498
22430;32.8;26.93;0.480;1.509;2006.325;-0.619;6.201
22530;32.9;26.93;0.487;1.521;2003.403;-0.756;6.084
22630;32.9;26.93;0.470;1.499;2012.762;-0.403;6.361
22730;32.9;26.93;0.482;1.516;2021.551;-0.653;6.120
22830;32.8;26.87;0.447;1.467;2010.438;0.081;6.757
22930;32.8;26.87;0.421;1.472;1994.207;0.488;6.487
23030;32.8;26.87;0.432;1.465;2005.247;0.273;6.685
23130;32.8;26.87;0.428;1.464;1993.367;0.411;6.698
23230;32.8;26.87;0.445;1.468;2010.071;0.070;6.746
23330;32.9;26.87;0.418;1.481;2010.477;0.524;6.321
23430;32.9;26.87;0.428;1.522;2008.765;0.088;5.592
23530;32.8;26.87;0.435;1.528;1998.734;-0.046;5.494
23630;32.8;26.87;0.437;1.523;1993.477;-0.033;5.584
23730;32.8;26.87;0.415;1.518;1976.707;0.323;5.650
23830;32.8;26.87;0.398;1.511;1997.695;0.694;5.787
23930;32.8;26.87;0.442;1.459;1993.686;0.137;6.797
24030;32.9;26.87;0.453;1.469;2000.667;-0.062;6.786
24130;32.9;26.87;0.457;1.482;1998.458;-0.153;6.593
24230;32.9;26.87;0.483;1.523;1992.692;-0.919;6.138
24330;32.9;26.87;0.399;1.539;1977.681;0.701;5.779
24430;32.9;26.87;0.436;1.467;1978.375;0.264;7.107
24530;32.8;26.87;0.449;1.487;2003.300;0.047;6.869
24630;32.8;26.87;0.423;1.503;2020.105;0.484;6.493
24730;32.8;26.87;0.423;1.544;2001.957;0.229;5.721
24830;32.8;26.93;0.453;1.544;2007.530;-0.387;5.771
24930;32.8;26.93;0.485;1.532;1999.544;-0.813;5.981
25030;32.8;26.93;0.472;1.537;2010.206;-0.637;5.890
25130;32.8;26.93;0.478;1.508;2029.813;-0.531;6.267
25230;32.8;26.93;0.439;1.462;2003.157;0.218;6.849
25330;32.9;26.93;0.412;1.501;2008.260;0.607;6.012
25430;32.9;26.93;0.402;1.515;1994.291;0.636;5.739
25530;32.9;26.93;0.421;1.466;1987.601;0.482;6.622
25630;32.9;26.93;0.417;1.476;1997.116;0.464;6.469
25730;32.9;26.93;0.415;1.482;1992.189;0.601;6.342
25830;32.8;26.93;0.406;1.505;2007.872;0.697;5.973
25930;32.8;26.93;0.411;1.531;2000.483;0.416;5.489
26030;32.8;26.93;0.405;1.492;1974.674;0.623;6.078
26130;32.8;26.93;0.437;1.460;1991.196;0.230;6.856
26230;32.8;26.93;0.457;1.475;1999.780;-0.156;6.744
26330;32.8;26.93;0.480;1.508;2014.771;-0.564;6.301
26430;32.8;26.93;0.449;1.465;2011.366;0.052;6.881
26530;32.8;26.93;0.417;1.488;2005.677;0.529;6.288
26630;32.8;26.93;0.417;1.476;1999.605;0.525;6.472
26730;32.8;26.93;0.423;1.465;1987.383;0.481;6.647
26830;32.8;26.87;0.454;1.465;1990.467;-0.067;6.839
26930;32.8;26.87;0.467;1.490;2008.483;-0.275;6.535
27030;32.9;26.87;0.474;1.510;2006.050;-0.443;6.315
27130;32.9;26.87;0.469;1.496;2010.581;-0.320;6.483
27230;32.9;26.87;0.476;1.501;1994.305;-0.508;6.396
27330;32.9;26.87;0.423;1.535;1977.804;0.168;5.886
27430;32.9;26.87;0.415;1.493;1990.297;0.563;6.629
27530;32.9;26.87;0.446;1.486;1992.614;0.077;6.900
27630;32.9;26.87;0.410;1.517;2010.247;0.643;6.281
27730;32.9;26.87;0.472;1.541;2025.073;-0.589;5.881
27830;32.9;26.87;0.480;1.513;2018.904;-0.608;6.239
27930;32.9;26.87;0.474;1.502;2004.314;-0.393;6.401
28030;32.9;26.87;0.464;1.490;2007.014;-0.233;6.561
28130;32.9;26.87;0.458;1.479;2025.319;-0.105;6.687
28230;32.9;26.87;0.402;1.525;2009.801;0.681;5.627
28330;32.9;26.87;0.463;1.520;2002.552;-0.515;5.723
28430;32.9;26.87;0.471;1.507;1997.696;-0.500;5.922
28530;32.9;26.87;0.466;1.510;1992.744;-0.511;5.839
28630;32.9;26.87;0.433;1.527;1995.113;0.020;5.620
28730;32.9;26.87;0.403;1.519;1974.359;0.585;5.686
28830;32.8;26.87;0.402;1.508;1990.752;0.697;5.899
28930;32.8;26.87;0.406;1.523;2009.801;0.570;5.623
29030;32.8;26.87;0.405;1.515;1982.619;0.643;5.789
29130;32.8;26.87;0.455;1.466;1977.148;-0.050;6.879
29230;32.8;26.87;0.478;1.511;2000.934;-0.580;6.330
29330;32.9;26.87;0.479;1.534;2001.848;-0.784;5.994
29430;32.9;26.87;0.492;1.536;2015.713;-0.852;6.008
29530;32.9;26.87;0.463;1.487;2011.922;-0.109;6.714
29630;32.9;26.87;0.446;1.469;2003.906;0.083;6.812
29730;32.9;26.87;0.445;1.469;2006.607;0.147;6.792
29830;32.9;26.87;0.454;1.477;2001.202;-0.059;6.745
29930;32.9;26.87;0.467;1.485;1998.395;-0.305;6.660
30030;32.8;26.87;0.471;1.494;2008.373;-0.339;6.603
30130;32.8;26.87;0.464;1.497;2017.374;-0.291;6.499
30230;32.8;26.87;0.461;1.481;1999.745;-0.156;6.686
30330;32.8;26.87;0.487;1.512;1978.960;-0.718;6.331
30430;32.8;26.87;0.445;1.540;1984.816;-0.194;5.898
30530;32.8;26.87;0.400;1.545;2000.951;0.656;5.823
30630;32.8;26.87;0.402;1.541;1997.203;0.670;5.896
30730;32.8;26.87;0.493;1.528;2024.372;-0.895;6.088
30830;32.9;26.87;0.434;1.475;2016.525;0.324;6.644
