d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
30.5;27.18;0.482;1.561;2007.592;-0.663;6.345
30.5;27.18;0.499;1.550;2010.551;-0.885;6.441
30.4;27.18;0.476;1.509;2018.605;-0.306;6.987
30.4;27.18;0.465;1.488;2000.194;-0.036;7.250
30.4;27.18;0.472;1.510;1995.802;-0.276;7.004
30.4;27.18;0.498;1.554;2007.326;-0.879;6.480
30.4;27.18;0.497;1.551;2005.040;-0.828;6.481
30.4;27.18;0.471;1.502;2017.980;-0.177;7.093
30.4;27.18;0.439;1.491;2011.695;0.330;7.140
30.4;27.18;0.425;1.501;2002.557;0.555;6.827
30.4;27.18;0.443;1.495;1990.798;0.210;7.107
30.4;27.18;0.466;1.496;2002.330;-0.140;7.178
30.5;27.18;0.487;1.536;1999.881;-0.575;6.713
30.5;27.18;0.497;1.543;2013.169;-0.799;6.544
30.5;27.18;0.474;1.518;2013.806;-0.285;6.899
30.5;27.18;0.478;1.509;1994.743;-0.350;7.029
30.5;27.18;0.497;1.546;1998.589;-0.902;6.546
30.5;27.18;0.439;1.567;1991.281;-0.062;6.171
30.5;27.18;0.410;1.559;1979.768;0.659;6.282
30.5;27.18;0.417;1.562;1998.776;0.492;6.210
30.4;27.18;0.437;1.576;2010.495;0.049;6.050
30.4;27.18;0.469;1.566;2001.401;-0.454;6.270
30.5;27.18;0.482;1.557;1992.603;-0.656;6.335
30.5;27.18;0.438;1.569;1992.694;-0.002;6.172
30.5;27.18;0.418;1.568;1999.045;0.476;6.215
30.5;27.18;0.479;1.563;2014.099;-0.803;6.346
30.5;27.18;0.475;1.522;2014.235;-0.300;6.871
30.4;27.18;0.448;1.488;2007.337;0.251;7.226
30.4;27.18;0.447;1.491;1999.542;0.188;7.227
30.4;27.18;0.471;1.507;2003.570;-0.226;7.053
30.4;27.18;0.479;1.514;1998.976;-0.338;7.001
30.4;27.18;0.473;1.510;2015.763;-0.268;7.029
30.5;27.18;0.455;1.496;2017.997;0.098;7.187
30.5;27.18;0.420;1.511;1995.314;0.601;6.661
30.5;27.18;0.439;1.486;1984.732;0.286;7.260
30.5;27.18;0.484;1.521;1995.195;-0.535;6.847
30.5;27.18;0.490;1.549;1999.390;-0.775;6.522
30.5;27.18;0.492;1.554;2005.357;-0.834;6.456
30.5;27.18;0.478;1.527;2013.328;-0.347;6.818
30.5;27.18;0.469;1.505;2012.336;-0.147;7.122
30.5;27.18;0.468;1.508;2005.282;-0.172;7.095
30.5;27.18;0.480;1.527;2007.938;-0.500;6.811
30.5;27.18;0.492;1.553;1984.537;-0.803;6.493
30.5;27.18;0.470;1.562;2000.352;-0.467;6.301
30.5;27.18;0.504;1.553;2019.474;-0.948;6.479
30.5;27.18;0.478;1.523;2004.024;-0.337;6.909
30.5;27.18;0.487;1.537;1991.746;-0.617;6.716
30.5;27.18;0.492;1.549;2005.752;-0.865;6.529
30.5;27.18;0.475;1.558;1997.498;-0.529;6.436
30.5;27.18;0.463;1.564;1995.673;-0.369;6.315
30.5;27.18;0.501;1.556;2013.495;-1.010;6.448
