d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
30.5;27.18;0.495;1.542;2020.018;-0.683;6.674
30.5;27.18;0.470;1.510;2011.190;-0.157;7.062
30.5;27.18;0.457;1.496;2003.949;0.021;7.182
30.5;27.18;0.473;1.508;1994.434;-0.217;7.125
30.5;27.18;0.458;1.510;2023.302;0.007;7.064
30.5;27.18;0.433;1.499;2014.675;0.430;7.031
30.5;27.18;0.407;1.531;1986.663;0.761;6.324
30.5;27.18;0.415;1.547;1992.507;0.592;6.079
30.5;27.18;0.414;1.515;1998.012;0.647;6.658
30.4;27.18;0.438;1.490;1990.077;0.393;7.198
30.4;27.18;0.459;1.496;1992.728;0.002;7.251
30.5;27.18;0.457;1.498;2011.744;0.050;7.216
30.5;27.18;0.443;1.486;2012.104;0.284;7.295
30.5;27.18;0.448;1.493;1999.411;0.188;7.204
30.5;27.18;0.469;1.514;1990.587;-0.235;7.033
30.5;27.18;0.487;1.560;1990.263;-0.701;6.415
30.5;27.18;0.471;1.565;2004.572;-0.494;6.357
30.5;27.18;0.504;1.552;2018.818;-1.015;6.537
30.5;27.18;0.486;1.528;2003.493;-0.498;6.889
30.4;27.18;0.471;1.519;2009.167;-0.185;6.984
30.4;27.18;0.481;1.528;2013.083;-0.441;6.872
30.5;27.18;0.486;1.529;1995.657;-0.507;6.863
30.5;27.18;0.498;1.551;1992.792;-0.914;6.552
30.5;27.18;0.495;1.546;2019.564;-0.712;6.627
30.6;27.18;0.466;1.506;2019.868;-0.078;7.154
30.6;27.18;0.444;1.496;1999.265;0.280;7.199
30.6;27.18;0.464;1.496;1993.934;-0.033;7.243
30.6;27.18;0.465;1.503;2008.679;-0.028;7.216
30.6;27.18;0.457;1.498;2015.413;0.052;7.253
30.5;27.18;0.451;1.493;2003.357;0.149;7.256
30.5;27.18;0.428;1.494;1998.046;0.530;7.066
30.5;27.18;0.413;1.535;2002.613;0.706;6.387
30.5;27.18;0.414;1.535;2000.101;0.678;6.383
30.5;27.18;0.416;1.511;1986.118;0.652;6.773
30.5;27.18;0.437;1.494;1996.692;0.320;7.168
30.5;27.18;0.423;1.517;2003.399;0.607;6.661
30.6;27.18;0.414;1.542;1999.611;0.626;6.216
30.6;27.18;0.419;1.557;1992.384;0.458;5.985
30.6;27.18;0.409;1.543;1983.251;0.654;6.178
30.7;27.18;0.436;1.490;1985.958;0.407;7.193
30.7;27.18;0.463;1.503;2003.977;-0.079;7.188
30.6;27.18;0.474;1.515;2004.694;-0.262;7.052
30.6;27.18;0.466;1.505;2010.832;-0.088;7.217
30.6;27.18;0.464;1.505;2004.092;-0.013;7.158
30.6;27.18;0.471;1.512;2008.419;-0.201;7.115
30.6;27.18;0.496;1.544;1979.494;-0.840;6.698
30.6;27.18;0.464;1.561;1994.571;-0.396;6.428
30.6;27.18;0.485;1.568;2017.137;-0.830;6.378
30.6;27.18;0.481;1.525;2019.165;-0.367;6.977
30.6;27.18;0.466;1.507;2004.250;-0.085;7.187
30.6;27.18;0.434;1.498;2009.105;0.417;7.102
30.7;27.18;0.433;1.494;2000.798;0.466;7.174
30.7;27.18;0.449;1.492;2000.322;0.164;7.269
30.7;27.18;0.460;1.497;2001.453;0.009;7.306
30.6;27.18;0.415;1.529;2007.751;0.688;6.502
30.6;27.18;0.430;1.560;2004.360;0.254;6.003
30.7;27.18;0.426;1.556;1995.614;0.286;6.050
30.7;27.18;0.413;1.544;1981.102;0.562;6.194
30.7;27.18;0.419;1.553;1995.718;0.483;6.100
30.7;27.18;0.410;1.537;1990.365;0.747;6.382
30.7;27.18;0.411;1.537;1989.375;0.715;6.329
30.7;27.18;0.418;1.556;1992.022;0.501;6.052
30.7;27.18;0.418;1.553;1994.313;0.474;6.129
30.7;27.18;0.414;1.530;1985.303;0.668;6.449
30.6;27.18;0.444;1.494;2002.090;0.213;7.242
30.6;27.18;0.457;1.497;2005.291;0.051;7.283
30.7;27.18;0.432;1.500;2008.152;0.482;7.163
30.7;27.18;0.421;1.523;2004.705;0.671;6.425
30.7;27.18;0.413;1.531;1988.949;0.687;6.458
30.7;27.18;0.429;1.491;1977.980;0.530;7.124
30.7;27.18;0.455;1.505;2002.855;0.099;7.189
30.7;27.18;0.473;1.519;2009.678;-0.240;7.054
30.7;27.18;0.478;1.517;2005.767;-0.320;7.128
30.7;27.18;0.466;1.500;2013.461;-0.023;7.252
30.6;27.18;0.446;1.499;2005.707;0.220;7.210
30.6;27.18;0.458;1.493;2001.750;0.098;7.374
30.7;27.18;0.497;1.546;1997.295;-0.775;6.699
30.7;27.18;0.497;1.547;2012.465;-0.787;6.681
30.7;27.18;0.477;1.518;2025.980;-0.259;7.122
30.7;27.18;0.429;1.506;2008.690;0.531;6.975
30.7;27.18;0.419;1.557;2002.543;0.457;6.050
30.7;27.18;0.464;1.547;1990.095;-0.343;6.185
30.7;27.18;0.448;1.558;1999.947;-0.094;6.114
30.7;27.18;0.424;1.558;1996.868;0.369;6.038
30.7;27.18;0.434;1.550;1999.224;0.137;6.157
30.7;27.18;0.490;1.539;2014.018;-0.668;6.387
30.7;27.18;0.482;1.539;2004.404;-0.534;6.366
30.7;27.18;0.476;1.545;1991.909;-0.548;6.260
30.7;27.18;0.445;1.553;1987.785;-0.051;6.167
30.6;27.18;0.414;1.548;1986.990;0.574;6.166
30.6;27.18;0.415;1.522;1989.674;0.700;6.636
30.6;27.18;0.428;1.520;1993.702;0.508;6.719
30.6;27.18;0.414;1.541;1997.104;0.612;6.342
30.6;27.18;0.411;1.545;1991.844;0.664;6.231
30.7;27.18;0.424;1.507;1988.037;0.564;7.015
30.7;27.18;0.465;1.502;2010.662;-0.113;7.303
30.7;27.18;0.453;1.494;2000.419;0.133;7.405
30.7;27.18;0.435;1.509;2005.255;0.425;6.946
30.7;27.18;0.412;1.540;2000.324;0.720;6.398
30.7;27.12;0.410;1.532;1990.951;0.762;6.513
30.7;27.12;0.430;1.503;1987.839;0.453;7.062
30.7;27.12;0.441;1.495;2005.127;0.325;7.297
30.7;27.12;0.451;1.490;2004.512;0.192;7.387
30.7;27.12;0.435;1.512;2005.316;0.440;6.934
30.7;27.12;0.450;1.563;2006.761;-0.099;6.070
30.7;27.12;0.467;1.547;1995.281;-0.445;6.233
30.6;27.12;0.426;1.553;1986.428;0.308;6.156
30.6;27.12;0.413;1.539;1994.818;0.662;6.389
30.6;27.12;0.415;1.551;1985.853;0.612;6.201
30.6;27.18;0.482;1.554;2016.594;-0.601;6.216
30.6;27.18;0.478;1.540;2014.031;-0.465;6.433
30.5;27.18;0.458;1.508;2005.000;-0.086;6.784
30.5;27.18;0.461;1.510;1995.971;-0.122;6.800
30.5;27.18;0.489;1.536;1986.219;-0.690;6.451
30.5;27.18;0.458;1.554;1995.336;-0.249;6.150
30.5;27.18;0.488;1.547;2009.705;-0.728;6.308
30.7;27.18;0.466;1.523;2011.367;-0.232;6.661
30.7;27.18;0.481;1.533;1990.581;-0.579;6.427
30.7;27.18;0.440;1.554;1988.819;0.072;6.182
30.7;27.18;0.413;1.530;1981.835;0.663;6.511
30.7;27.18;0.417;1.515;1990.998;0.644;6.648
30.8;27.18;0.422;1.531;2001.025;0.618;6.614
30.8;27.18;0.423;1.512;2007.383;0.578;6.977
30.8;27.18;0.411;1.530;1988.854;0.750;6.501
30.7;27.18;0.414;1.536;1989.120;0.695;6.458
30.7;27.18;0.446;1.491;1998.126;0.232;7.359
30.8;27.18;0.453;1.501;2011.192;0.183;7.372
30.8;27.18;0.415;1.541;2001.470;0.701;6.423
30.8;27.18;0.454;1.560;2006.580;-0.211;6.138
30.7;27.18;0.468;1.550;1999.061;-0.452;6.232
30.7;27.18;0.472;1.555;2003.085;-0.452;6.264
30.7;27.18;0.470;1.553;1989.054;-0.459;6.209
30.7;27.18;0.453;1.552;1996.105;-0.194;6.237
30.7;27.18;0.476;1.553;2008.405;-0.499;6.236
30.6;27.18;0.474;1.539;2013.939;-0.382;6.461
30.6;27.18;0.453;1.505;2000.454;-0.023;6.862
30.6;27.18;0.461;1.509;1999.005;-0.090;6.854
30.6;27.18;0.479;1.557;1991.879;-0.593;6.212
30.6;27.18;0.463;1.557;1997.466;-0.374;6.180
30.6;27.18;0.490;1.538;2002.815;-0.669;6.453
30.6;27.18;0.464;1.515;2012.695;-0.148;6.814
30.7;27.18;0.452;1.503;2006.774;-0.003;6.892
30.7;27.18;0.461;1.511;1992.664;-0.074;6.849
30.7;27.18;0.474;1.525;1994.222;-0.367;6.664
30.7;27.18;0.460;1.550;1986.882;-0.328;6.279
30.7;27.18;0.446;1.556;2001.049;-0.012;6.200
30.9;27.18;0.477;1.555;2000.384;-0.551;6.251
30.9;27.18;0.478;1.532;1991.224;-0.470;6.504
30.9;27.18;0.465;1.555;1992.206;-0.350;6.245
30.8;27.18;0.409;1.554;1989.390;0.687;6.255
30.8;27.18;0.412;1.536;1982.151;0.706;6.487
30.8;27.18;0.414;1.543;1993.809;0.679;6.370
30.8;27.18;0.412;1.561;1998.043;0.611;6.154
30.8;27.18;0.417;1.556;1996.569;0.508;6.165
30.9;27.18;0.459;1.562;1996.623;-0.209;6.182
30.9;27.18;0.455;1.555;1990.201;-0.205;6.230
30.9;27.18;0.420;1.552;1990.980;0.436;6.256
30.9;27.18;0.459;1.557;2011.189;-0.239;6.222
30.9;27.18;0.476;1.541;2009.444;-0.367;6.456
30.9;27.18;0.453;1.500;2011.790;0.004;6.922
30.9;27.18;0.447;1.494;2005.441;0.150;7.060
30.8;27.18;0.457;1.497;2000.382;-0.045;7.050
30.8;27.18;0.461;1.517;1995.952;-0.159;6.736
30.8;27.18;0.461;1.508;2008.955;-0.096;6.877
30.9;27.18;0.464;1.513;2006.106;-0.131;6.900
30.9;27.18;0.440;1.498;2006.892;0.218;6.983
30.9;27.18;0.451;1.494;1990.331;0.079;7.086
30.9;27.18;0.466;1.508;1989.043;-0.230;6.941
30.9;27.18;0.460;1.546;1989.021;-0.306;6.342
30.8;27.18;0.433;1.559;1999.522;0.193;6.223
30.8;27.18;0.489;1.553;2006.461;-0.669;6.353
30.8;27.18;0.477;1.536;2006.037;-0.460;6.500
30.8;27.18;0.472;1.533;2004.494;-0.260;6.596
30.8;27.18;0.484;1.549;1993.294;-0.655;6.396
30.8;27.18;0.467;1.550;1984.050;-0.451;6.279
30.8;27.18;0.460;1.557;1995.700;-0.197;6.213
30.8;27.18;0.471;1.558;2002.567;-0.426;6.272
30.8;27.18;0.478;1.540;2010.118;-0.520;6.473
30.8;27.18;0.482;1.539;1985.770;-0.556;6.505
30.8;27.12;0.485;1.550;1993.019;-0.696;6.341
30.8;27.12;0.456;1.555;1993.896;-0.208;6.222
30.7;27.12;0.470;1.552;1999.002;-0.458;6.369
30.7;27.12;0.494;1.549;2002.479;-0.757;6.409
30.7;27.12;0.470;1.539;2015.593;-0.299;6.497
30.8;27.12;0.465;1.517;2012.918;-0.111;6.813
30.8;27.12;0.458;1.503;2000.421;-0.046;7.018
30.9;27.12;0.469;1.527;1992.314;-0.297;6.648
30.9;27.12;0.468;1.523;2015.441;-0.161;6.729
30.9;27.12;0.451;1.498;2013.674;0.125;7.112
30.9;27.18;0.420;1.510;1998.049;0.491;6.620
30.9;27.18;0.404;1.533;1988.554;0.732;6.208
30.9;27.18;0.414;1.516;1990.111;0.646;6.503
30.9;27.18;0.437;1.496;1990.343;0.266;6.986
30.9;27.18;0.456;1.502;1996.687;-0.016;7.026
30.9;27.18;0.464;1.509;2002.035;-0.124;6.993
30.9;27.18;0.458;1.513;2015.328;-0.121;6.862
30.9;27.18;0.453;1.494;2002.367;0.100;7.116
30.9;27.18;0.469;1.515;1989.934;-0.247;6.917
30.9;27.18;0.478;1.545;1978.264;-0.595;6.385
31.0;27.18;0.429;1.565;1994.075;0.321;6.143
31.0;27.18;0.434;1.566;2001.113;0.102;6.210
31.0;27.18;0.482;1.547;1993.647;-0.643;6.371
31.0;27.18;0.482;1.544;2012.677;-0.500;6.502
31.0;27.18;0.471;1.527;2007.720;-0.272;6.745
30.9;27.18;0.474;1.538;1993.307;-0.363;6.533
30.9;27.18;0.487;1.540;1997.964;-0.676;6.535
30.9;27.18;0.493;1.548;2003.416;-0.737;6.447
30.9;27.18;0.464;1.520;2014.718;-0.196;6.814
30.9;27.18;0.444;1.495;2003.942;0.252;7.057
30.9;27.18;0.454;1.494;1990.705;0.048;7.173
30.9;27.18;0.446;1.500;2003.484;0.185;7.013
30.9;27.18;0.453;1.502;2008.586;0.046;7.086
30.9;27.18;0.465;1.511;2002.653;-0.161;6.962
30.9;27.18;0.451;1.498;1995.800;0.171;7.077
30.9;27.18;0.429;1.507;2003.080;0.457;6.861
30.9;27.18;0.413;1.529;2002.356;0.650;6.379
30.9;27.18;0.413;1.521;1991.299;0.635;6.461
30.9;27.18;0.442;1.489;1993.246;0.182;7.183
30.9;27.18;0.431;1.497;2003.768;0.432;7.024
30.9;27.18;0.423;1.513;2007.025;0.482;6.641
30.9;27.18;0.410;1.528;1994.031;0.702;6.418
31.0;27.18;0.410;1.525;1984.584;0.678;6.421
31.0;27.18;0.426;1.502;1993.628;0.446;6.872
31.0;27.18;0.463;1.510;2002.353;-0.145;6.964
30.9;27.18;0.480;1.534;1994.179;-0.437;6.660
30.9;27.18;0.472;1.536;2000.849;-0.358;6.595
31.0;27.18;0.473;1.532;2015.245;-0.253;6.683
31.0;27.18;0.463;1.507;2010.099;-0.101;7.050
31.0;27.18;0.476;1.531;1985.049;-0.408;6.660
31.0;27.18;0.469;1.550;1988.655;-0.468;6.462
31.0;27.18;0.471;1.555;1999.042;-0.432;6.330
31.0;27.18;0.485;1.555;2012.156;-0.601;6.340
31.0;27.18;0.471;1.531;2010.628;-0.221;6.713
31.0;27.18;0.438;1.496;2006.026;0.376;7.059
30.9;27.18;0.429;1.506;2003.191;0.419;6.822
30.9;27.18;0.442;1.499;1996.164;0.230;7.064
30.8;27.18;0.457;1.503;1999.392;0.003;7.113
30.8;27.18;0.426;1.505;2011.105;0.463;6.897
30.8;27.18;0.412;1.554;2009.221;0.620;5.957
30.8;27.12;0.412;1.555;1994.944;0.495;5.950
30.8;27.12;0.407;1.555;1987.639;0.622;5.913
30.9;27.12;0.409;1.547;1986.048;0.635;6.083
30.9;27.12;0.415;1.520;1989.434;0.673;6.551
30.9;27.12;0.418;1.513;2003.996;0.557;6.721
30.9;27.12;0.421;1.509;1988.433;0.563;6.780
30.9;27.12;0.410;1.546;1998.398;0.685;6.113
30.9;27.12;0.406;1.543;1996.485;0.675;6.117
30.9;27.12;0.430;1.498;1991.019;0.414;7.017
30.9;27.12;0.456;1.508;1993.011;0.013;7.054
30.9;27.18;0.447;1.506;2011.170;0.151;7.044
30.9;27.18;0.440;1.503;2009.021;0.305;7.009
30.9;27.18;0.423;1.507;1997.347;0.495;6.837
30.9;27.18;0.434;1.495;1983.294;0.349;7.050
30.9;27.18;0.453;1.504;1998.831;0.072;7.085
30.9;27.18;0.472;1.526;1999.662;-0.237;6.823
30.9;27.18;0.477;1.544;2000.966;-0.458;6.555
30.9;27.18;0.465;1.518;2011.151;-0.111;6.911
30.9;27.18;0.436;1.499;2009.508;0.372;7.027
30.9;27.18;0.423;1.505;1999.648;0.517;6.819
30.9;27.12;0.462;1.512;1993.544;-0.161;7.028
30.9;27.12;0.472;1.532;1999.291;-0.257;6.779
30.9;27.12;0.462;1.518;2017.457;-0.079;6.927
30.9;27.12;0.425;1.518;2010.061;0.531;6.664
30.9;27.12;0.411;1.561;2005.822;0.570;5.944
30.9;27.12;0.460;1.555;1992.708;-0.362;6.036
30.9;27.12;0.459;1.558;1997.097;-0.383;6.028
30.9;27.12;0.417;1.556;1990.848;0.416;5.993
30.9;27.12;0.409;1.563;1998.728;0.547;5.885
30.9;27.12;0.463;1.552;2001.522;-0.389;6.085
30.9;27.12;0.494;1.543;2008.984;-0.843;6.226
30.9;27.12;0.477;1.547;1996.506;-0.627;6.159
30.9;27.12;0.409;1.554;1983.163;0.571;6.054
30.9;27.12;0.405;1.535;1986.078;0.741;6.311
30.9;27.12;0.412;1.525;2000.576;0.659;6.520
30.9;27.12;0.423;1.513;1996.939;0.577;6.779
30.9;27.12;0.414;1.524;1990.140;0.643;6.570
30.9;27.12;0.415;1.528;1997.458;0.613;6.446
30.9;27.12;0.428;1.504;1989.613;0.501;6.953
30.9;27.12;0.466;1.507;1995.796;-0.139;7.083
30.9;27.18;0.464;1.531;2004.999;-0.188;6.771
30.9;27.18;0.446;1.503;2016.360;0.202;7.069
30.9;27.18;0.415;1.528;2001.034;0.674;6.518
30.9;27.18;0.408;1.534;1996.212;0.699;6.376
30.9;27.18;0.433;1.504;1987.543;0.388;7.018
31.0;27.18;0.441;1.496;2002.512;0.240;7.154
31.0;27.18;0.443;1.503;2001.868;0.237;7.019
31.0;27.18;0.437;1.506;2008.341;0.460;6.923
31.0;27.18;0.417;1.561;2003.088;0.502;5.986
31.0;27.18;0.447;1.560;2004.322;-0.158;5.958
31.0;27.12;0.419;1.556;1988.352;0.419;6.035
31.0;27.12;0.421;1.510;1991.882;0.573;6.803
30.9;27.12;0.417;1.522;1993.603;0.612;6.606
30.9;27.12;0.414;1.562;2004.494;0.594;5.963
30.9;27.12;0.472;1.554;2012.473;-0.549;6.151
31.0;27.12;0.499;1.535;2012.556;-0.926;6.381
31.0;27.12;0.502;1.537;1984.680;-0.917;6.395
31.0;27.12;0.470;1.546;1996.552;-0.508;6.225
31.0;27.12;0.436;1.562;1999.037;0.014;5.941
31.0;27.12;0.436;1.563;1999.915;0.081;5.951
31.0;27.12;0.481;1.552;2007.980;-0.661;6.165
31.0;27.12;0.492;1.545;2002.966;-0.896;6.221
31.0;27.12;0.412;1.556;1981.525;0.514;6.034
31.0;27.12;0.421;1.514;1986.493;0.566;6.751
31.0;27.12;0.431;1.504;1994.651;0.411;6.995
31.0;27.12;0.446;1.503;2004.226;0.229;7.092
31.0;27.12;0.442;1.507;2001.368;0.266;7.113
31.0;27.12;0.425;1.508;2000.054;0.483;6.909
31.0;27.12;0.417;1.518;1986.594;0.638;6.682
31.0;27.12;0.436;1.496;1988.748;0.368;7.127
31.0;27.12;0.450;1.511;2011.392;0.109;7.046
31.0;27.12;0.429;1.507;2001.677;0.436;6.970
31.0;27.12;0.410;1.565;2002.687;0.601;5.941
31.0;27.12;0.456;1.559;2015.426;-0.340;6.004
31.0;27.12;0.475;1.557;2003.164;-0.628;6.120
31.0;27.12;0.442;1.556;1988.729;-0.042;6.074
31.0;27.12;0.433;1.564;1996.461;0.115;5.963
31.0;27.12;0.427;1.565;2000.376;0.276;5.962
31.0;27.12;0.455;1.558;2010.664;-0.295;6.154
31.0;27.12;0.490;1.529;2008.370;-0.727;6.502
31.0;27.18;0.496;1.532;1989.930;-0.758;6.462
31.0;27.18;0.468;1.550;1989.053;-0.455;6.208
31.0;27.18;0.427;1.565;1999.293;0.197;5.958
31.0;27.18;0.436;1.558;1993.816;0.049;6.058
31.0;27.18;0.491;1.546;2013.249;-0.809;6.268
31.1;27.18;0.498;1.539;2011.115;-0.946;6.368
31.1;27.18;0.503;1.546;2004.218;-0.943;6.302
31.1;27.18;0.492;1.545;1993.273;-0.848;6.274
31.1;27.18;0.455;1.557;1993.224;-0.299;6.114
31.1;27.18;0.415;1.564;1994.179;0.495;5.989
31.0;27.12;0.420;1.561;1999.341;0.381;6.017
31.0;27.12;0.469;1.552;2001.123;-0.561;6.179
31.1;27.12;0.425;1.561;1983.908;0.304;6.046
31.1;27.12;0.409;1.537;1988.732;0.733;6.422
31.1;27.12;0.412;1.527;1994.807;0.695;6.602
31.0;27.12;0.419;1.515;1987.556;0.560;6.806
31.0;27.12;0.411;1.535;1999.164;0.722;6.478
31.0;27.12;0.409;1.551;2006.975;0.686;6.163
31.0;27.12;0.418;1.564;1991.745;0.473;6.015
31.0;27.12;0.438;1.559;1992.674;0.006;6.107
31.1;27.12;0.424;1.564;1999.124;0.244;5.983
31.1;27.12;0.439;1.561;2006.722;0.033;6.073
31.1;27.12;0.485;1.554;2004.094;-0.692;6.206
31.1;27.12;0.486;1.526;2014.315;-0.559;6.568
31.1;27.12;0.476;1.512;2012.129;-0.314;6.786
31.1;27.12;0.476;1.521;2011.724;-0.419;6.672
31.1;27.12;0.485;1.526;1999.818;-0.615;6.588
31.1;27.12;0.499;1.530;1994.392;-0.821;6.540
31.1;27.12;0.495;1.543;2013.571;-0.821;6.399
31.1;27.12;0.482;1.529;2018.979;-0.465;6.576
31.0;27.12;0.470;1.508;2005.679;-0.239;6.881
31.0;27.12;0.474;1.509;2003.563;-0.341;6.824
31.1;27.12;0.460;1.551;1997.661;-0.424;6.225
31.1;27.12;0.422;1.563;1994.059;0.359;6.017
31.1;27.12;0.452;1.562;1997.694;-0.170;6.105
31.0;27.12;0.493;1.547;2008.725;-0.892;6.300
31.0;27.12;0.494;1.547;2004.179;-0.862;6.348
31.0;27.12;0.464;1.554;2000.217;-0.449;6.221
31.0;27.12;0.461;1.559;1992.328;-0.421;6.118
31.0;27.12;0.424;1.559;1988.425;0.299;6.082
31.0;27.12;0.419;1.567;1997.442;0.443;6.004
31.0;27.12;0.483;1.557;2014.039;-0.717;6.187
31.0;27.12;0.500;1.542;1993.550;-0.916;6.427
31.0;27.12;0.478;1.551;1996.360;-0.652;6.251
31.0;27.12;0.466;1.558;2004.923;-0.469;6.137
31.0;27.12;0.445;1.564;1995.644;-0.060;6.073
31.0;27.12;0.447;1.557;1992.941;-0.119;6.166
31.0;27.12;0.491;1.548;2014.710;-0.937;6.349
31.0;27.12;0.498;1.540;2011.805;-0.820;6.488
31.0;27.12;0.483;1.527;2016.569;-0.523;6.635
31.0;27.12;0.479;1.515;1996.474;-0.401;6.733
31.0;27.12;0.500;1.542;2000.606;-0.860;6.415
31.0;27.12;0.493;1.539;2015.819;-0.719;6.487
31.0;27.12;0.471;1.506;2019.950;-0.263;6.900
31.0;27.12;0.437;1.484;1996.892;0.361;7.082
31.0;27.12;0.437;1.485;1999.740;0.377;6.977
31.0;27.12;0.469;1.491;1999.221;-0.118;7.056
31.0;27.12;0.483;1.516;2001.636;-0.476;6.787
31.0;27.12;0.489;1.534;1992.115;-0.704;6.593
31.0;27.12;0.493;1.538;2017.860;-0.773;6.481
31.0;27.12;0.491;1.532;2011.290;-0.497;6.646
31.0;27.12;0.476;1.522;2005.987;-0.378;6.717
31.0;27.12;0.498;1.540;1983.572;-0.964;6.447
31.0;27.12;0.418;1.561;1989.238;0.454;6.123
31.0;27.12;0.411;1.557;1998.423;0.639;6.157
31.0;27.12;0.435;1.569;2007.306;0.045;6.031
31.0;27.12;0.487;1.556;2001.100;-0.737;6.235
31.0;27.12;0.488;1.539;2016.952;-0.652;6.494
31.0;27.12;0.495;1.533;2012.757;-0.754;6.541
31.0;27.12;0.496;1.546;1991.702;-0.873;6.405
31.0;27.12;0.478;1.551;2002.596;-0.641;6.361
31.0;27.12;0.494;1.545;2024.066;-0.789;6.446
31.0;27.12;0.472;1.506;2013.378;-0.189;6.939
31.0;27.12;0.464;1.499;2006.299;-0.141;7.000
31.0;27.12;0.471;1.502;1997.170;-0.245;6.993
31.0;27.12;0.482;1.530;2008.234;-0.451;6.674
31.0;27.12;0.491;1.533;2005.834;-0.685;6.569
31.0;27.12;0.478;1.522;2012.894;-0.410;6.717
31.0;27.12;0.462;1.491;2009.384;-0.019;7.154
31.0;27.12;0.446;1.493;2016.098;0.183;7.022
31.1;27.12;0.446;1.486;2005.522;0.182;7.084
31.1;27.12;0.459;1.488;1997.679;-0.015;7.216
31.1;27.12;0.474;1.508;2007.450;-0.269;6.937
31.1;27.12;0.469;1.499;2018.181;-0.158;7.024
31.1;27.12;0.438;1.485;2004.133;0.366;7.100
31.1;27.12;0.441;1.485;1993.371;0.282;7.014
31.1;27.12;0.457;1.491;1993.576;0.010;7.118
31.0;27.12;0.478;1.525;2000.633;-0.395;6.751
31.0;27.12;0.497;1.548;1997.106;-0.887;6.364
31.0;27.12;0.482;1.555;2000.092;-0.745;6.282
31.0;27.12;0.501;1.550;2015.129;-0.896;6.389
31.0;27.12;0.485;1.532;2013.783;-0.527;6.641
31.0;27.12;0.499;1.538;2004.416;-0.897;6.523
31.0;27.12;0.449;1.556;1982.537;-0.224;6.279
31.0;27.12;0.441;1.563;1999.071;-0.009;6.178
31.1;27.12;0.474;1.561;2015.372;-0.541;6.216
31.1;27.12;0.496;1.542;2008.395;-0.692;6.492
31.0;27.12;0.462;1.495;2013.621;-0.036;7.096
31.0;27.12;0.447;1.484;2001.479;0.195;7.116
