30.500000;27.180000;27.180000;27.180000;27.180000;27.180000;0.482000;0.482000;0.482000;0.482000;0.482000;1.561000;1.561000;1.561000;1.561000;1.561000;2007.592000;2007.592000;2007.592000;2007.592000;2007.592000;-0.663000;-0.663000;-0.663000;-0.663000;-0.663000;6.345000;6.345000;6.345000;6.345000;6.345000;1.633721;1.633721;1.633721;1.633721;1.633721;6.379545;6.379545;6.379545;6.379545;6.379545;15.633597;15.633597;15.633597;15.633597;15.633597;12807.523442;12807.523442;12807.523442;12807.523442;12807.523442;31385.884088;31385.884088;31385.884088;31385.884088;31385.884088
30.500000;27.180000;27.180000;27.180000;27.180000;27.180000;0.499000;0.482005;0.482002;0.482001;0.482001;1.550000;1.560997;1.560999;1.560999;1.561000;2010.551000;2007.592897;2007.592352;2007.592186;2007.592125;-0.885000;-0.663067;-0.663026;-0.663014;-0.663009;6.441000;6.345029;6.345011;6.345006;6.345004;1.628343;1.633720;1.633721;1.633721;1.633721;6.501516;6.379582;6.379559;6.379553;6.379550;15.880047;15.633672;15.633626;15.633612;15.633607;13071.628831;12807.603461;12807.554881;12807.540051;12807.534585;31927.643405;31386.048233;31385.948579;31385.918160;31385.906947
30.400000;27.180000;27.180000;27.180000;27.180000;27.180000;0.476000;0.482003;0.482001;0.482001;0.482000;1.509000;1.560981;1.560993;1.560996;1.560997;2018.605000;2007.596233;2007.593663;2007.592879;2007.592590;-0.306000;-0.662959;-0.662984;-0.662992;-0.662994;6.987000;6.345224;6.345088;6.345046;6.345031;1.582295;1.633704;1.633714;1.633718;1.633719;6.993698;6.379768;6.379633;6.379591;6.379576;16.599137;15.633964;15.633741;15.633673;15.633648;14117.512782;12808.000343;12807.710819;12807.622437;12807.589857;33507.101706;31386.690879;31386.201083;31386.051564;31385.996447
30.400000;27.180000;27.180000;27.180000;27.180000;27.180000;0.465000;0.481998;0.481999;0.482000;0.482000;1.488000;1.560959;1.560984;1.560991;1.560994;2000.194000;2007.593990;2007.592782;2007.592413;2007.592277;-0.036000;-0.662769;-0.662909;-0.662952;-0.662968;7.250000;6.345498;6.345196;6.345103;6.345069;1.558964;1.633681;1.633706;1.633713;1.633716;7.250089;6.380032;6.379736;6.379646;6.379613;16.953943;15.634364;15.633898;15.633756;15.633704;14501.585275;12808.513473;12807.912459;12807.728972;12807.661332;33911.175801;31387.455758;31386.501657;31386.210371;31386.102992
30.400000;27.180000;27.180000;27.180000;27.180000;27.180000;0.472000;0.481995;0.481998;0.481999;0.481999;1.510000;1.560943;1.560978;1.560988;1.560992;1995.802000;2007.590417;2007.591379;2007.591672;2007.591780;-0.276000;-0.662652;-0.662863;-0.662928;-0.662952;7.004000;6.345697;6.345274;6.345145;6.345097;1.582051;1.633666;1.633699;1.633710;1.633713;7.009436;6.380222;6.379811;6.379686;6.379639;16.633923;15.634667;15.634017;15.633819;15.633746;13989.446240;12808.871278;12808.053109;12807.803292;12807.711196;33198.017057;31388.004330;31386.717301;31386.324318;31386.179443
30.400000;27.180000;27.180000;27.180000;27.180000;27.180000;0.498000;0.482000;0.482000;0.482000;0.482000;1.554000;1.560941;1.560977;1.560988;1.560992;2007.326000;2007.590337;2007.591347;2007.591655;2007.591769;-0.879000;-0.662717;-0.662889;-0.662941;-0.662961;6.480000;6.345738;6.345290;6.345153;6.345103;1.631846;1.633665;1.633699;1.633710;1.633713;6.539346;6.380271;6.379830;6.379696;6.379646;16.006803;15.634780;15.634062;15.633843;15.633762;13126.598465;12808.967544;12808.091029;12807.823341;12807.724650;32130.872546;31388.229408;31386.805885;31386.371143;31386.210864
30.400000;27.180000;27.180000;27.180000;27.180000;27.180000;0.497000;0.482005;0.482002;0.482001;0.482001;1.551000;1.560938;1.560976;1.560987;1.560991;2005.040000;2007.589565;2007.591043;2007.591495;2007.591661;-0.828000;-0.662768;-0.662909;-0.662952;-0.662968;6.481000;6.345779;6.345306;6.345162;6.345109;1.628684;1.633664;1.633699;1.633709;1.633713;6.533678;6.380317;6.379848;6.379705;6.379653;15.961940;15.634879;15.634101;15.633863;15.633776;13100.285245;12809.055809;12808.125812;12807.841734;12807.736995;32004.327978;31388.416076;31386.879396;31386.410007;31386.236944
30.400000;27.180000;27.180000;27.180000;27.180000;27.180000;0.471000;0.482001;0.482000;0.482000;0.482000;1.502000;1.560920;1.560969;1.560983;1.560989;2017.980000;2007.592713;2007.592280;2007.592148;2007.592099;-0.177000;-0.662620;-0.662851;-0.662921;-0.662947;7.093000;6.346005;6.345395;6.345209;6.345140;1.574117;1.633646;1.633691;1.633706;1.633711;7.095208;6.380534;6.379934;6.379750;6.379683;16.753034;15.635218;15.634234;15.633934;15.633823;14317.988044;12809.512992;12808.305547;12807.936709;12807.800717;33807.287152;31389.148956;31387.167522;31386.562259;31386.339096
30.400000;27.180000;27.180000;27.180000;27.180000;27.180000;0.439000;0.481988;0.481995;0.481998;0.481998;1.491000;1.560899;1.560960;1.560979;1.560986;2011.695000;2007.593956;2007.592769;2007.592406;2007.592272;0.330000;-0.662320;-0.662733;-0.662859;-0.662905;7.140000;6.346246;6.345490;6.345259;6.345174;1.554285;1.633622;1.633682;1.633701;1.633707;7.147622;6.380766;6.380025;6.379799;6.379715;16.664163;15.635529;15.634357;15.633998;15.633866;14378.835403;12809.988472;12808.492503;12808.035505;12807.867004;33523.213240;31389.795544;31387.421798;31386.696635;31386.429257
30.400000;27.180000;27.180000;27.180000;27.180000;27.180000;0.425000;0.481971;0.481989;0.481994;0.481996;1.501000;1.560881;1.560953;1.560975;1.560983;2002.557000;2007.592430;2007.592169;2007.592089;2007.592060;0.555000;-0.661951;-0.662588;-0.662782;-0.662854;6.827000;6.346392;6.345547;6.345289;6.345194;1.560008;1.633599;1.633673;1.633696;1.633704;6.849522;6.380908;6.380081;6.379828;6.379735;16.027968;15.635648;15.634403;15.634023;15.633883;13716.558574;12810.263148;12808.600600;12808.092643;12807.905344;32096.918521;31390.009792;31387.506257;31386.741302;31386.459235
